Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather
DTW,"Detroit, MI: Detroit Metro Wayne County",May-12,5,May,2012,312,390,291,1,32
EWR,"Newark, NJ: Newark Liberty International",May-12,5,May,2012,528,809,1740,0,356
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",May-12,5,May,2012,278,277,381,3,20
IAD,"Washington, DC: Washington Dulles International",May-12,5,May,2012,362,493,431,1,50
IAH,"Houston, TX: George Bush Intercontinental/Houston",May-12,5,May,2012,662,849,599,4,48
JFK,"New York, NY: John F. Kennedy International",May-12,5,May,2012,313,363,453,2,56
LAS,"Las Vegas, NV: McCarran International",May-12,5,May,2012,492,634,305,6,47
LAX,"Los Angeles, CA: Los Angeles International",May-12,5,May,2012,759,1025,682,8,80
LGA,"New York, NY: LaGuardia",May-12,5,May,2012,301,417,1280,0,87
MCO,"Orlando, FL: Orlando International",May-12,5,May,2012,497,575,622,4,38
MDW,"Chicago, IL: Chicago Midway International",May-12,5,May,2012,301,568,203,5,23
MIA,"Miami, FL: Miami International",May-12,5,May,2012,299,424,439,4,54
MSP,"Minneapolis, MN: Minneapolis-St Paul International",May-12,5,May,2012,339,421,370,1,48
ORD,"Chicago, IL: Chicago O'Hare International",May-12,5,May,2012,958,1574,1771,3,235
PDX,"Portland, OR: Portland International",May-12,5,May,2012,232,220,111,0,11
PHL,"Philadelphia, PA: Philadelphia International",May-12,5,May,2012,317,314,729,1,71
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",May-12,5,May,2012,460,605,436,8,38
SAN,"San Diego, CA: San Diego International",May-12,5,May,2012,332,309,159,1,27
SEA,"Seattle, WA: Seattle/Tacoma International",May-12,5,May,2012,412,298,285,3,30
SFO,"San Francisco, CA: San Francisco International",May-12,5,May,2012,601,994,1592,5,91
SLC,"Salt Lake City, UT: Salt Lake City International",May-12,5,May,2012,235,277,151,2,21
TPA,"Tampa, FL: Tampa International",May-12,5,May,2012,279,355,271,0,24
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jun-12,6,June,2012,1255,1876,1718,3,139
BOS,"Boston, MA: Logan International",Jun-12,6,June,2012,535,609,759,4,65
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jun-12,6,June,2012,436,669,516,5,69
CLT,"Charlotte, NC: Charlotte Douglas International",Jun-12,6,June,2012,450,449,425,3,46
DCA,"Washington, DC: Ronald Reagan Washington National",Jun-12,6,June,2012,334,323,349,3,40
DEN,"Denver, CO: Denver International",Jun-12,6,June,2012,1027,1605,1116,8,86
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jun-12,6,June,2012,814,1519,773,5,136
DTW,"Detroit, MI: Detroit Metro Wayne County",Jun-12,6,June,2012,383,454,405,0,44
EWR,"Newark, NJ: Newark Liberty International",Jun-12,6,June,2012,656,960,1259,3,49
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jun-12,6,June,2012,344,355,272,2,33
IAD,"Washington, DC: Washington Dulles International",Jun-12,6,June,2012,428,577,386,2,32
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jun-12,6,June,2012,1048,1459,1132,6,77
JFK,"New York, NY: John F. Kennedy International",Jun-12,6,June,2012,401,592,595,9,49
LAS,"Las Vegas, NV: McCarran International",Jun-12,6,June,2012,629,954,396,6,39
LAX,"Los Angeles, CA: Los Angeles International",Jun-12,6,June,2012,1049,1462,1078,12,91
LGA,"New York, NY: LaGuardia",Jun-12,6,June,2012,351,431,829,1,63
MCO,"Orlando, FL: Orlando International",Jun-12,6,June,2012,636,675,541,2,44
MDW,"Chicago, IL: Chicago Midway International",Jun-12,6,June,2012,381,696,255,12,27
MIA,"Miami, FL: Miami International",Jun-12,6,June,2012,332,408,402,3,49
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jun-12,6,June,2012,444,488,413,3,46
ORD,"Chicago, IL: Chicago O'Hare International",Jun-12,6,June,2012,1232,1868,1304,7,104
PDX,"Portland, OR: Portland International",Jun-12,6,June,2012,299,340,189,1,16
PHL,"Philadelphia, PA: Philadelphia International",Jun-12,6,June,2012,322,355,478,1,32
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jun-12,6,June,2012,581,823,416,12,32
SAN,"San Diego, CA: San Diego International",Jun-12,6,June,2012,463,505,204,2,25
SEA,"Seattle, WA: Seattle/Tacoma International",Jun-12,6,June,2012,555,483,472,4,36
SFO,"San Francisco, CA: San Francisco International",Jun-12,6,June,2012,818,1342,2061,6,115
SLC,"Salt Lake City, UT: Salt Lake City International",Jun-12,6,June,2012,358,426,173,3,20
TPA,"Tampa, FL: Tampa International",Jun-12,6,June,2012,419,384,287,4,34
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jul-12,7,July,2012,1627,2628,2950,6,254
BOS,"Boston, MA: Logan International",Jul-12,7,July,2012,586,779,682,1,72
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jul-12,7,July,2012,489,879,769,5,129
CLT,"Charlotte, NC: Charlotte Douglas International",Jul-12,7,July,2012,475,711,860,2,86
DCA,"Washington, DC: Ronald Reagan Washington National",Jul-12,7,July,2012,342,385,687,1,87
DEN,"Denver, CO: Denver International",Jul-12,7,July,2012,1128,2254,1139,8,133
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jul-12,7,July,2012,999,1839,1275,2,247
DTW,"Detroit, MI: Detroit Metro Wayne County",Jul-12,7,July,2012,458,619,592,1,76
EWR,"Newark, NJ: Newark Liberty International",Jul-12,7,July,2012,721,1128,1433,1,107
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jul-12,7,July,2012,449,484,343,4,48
IAD,"Washington, DC: Washington Dulles International",Jul-12,7,July,2012,480,861,515,0,51
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jul-12,7,July,2012,1213,2173,1562,9,120
JFK,"New York, NY: John F. Kennedy International",Jul-12,7,July,2012,445,635,927,5,80
LAS,"Las Vegas, NV: McCarran International",Jul-12,7,July,2012,624,1051,426,8,75
LAX,"Los Angeles, CA: Los Angeles International",Jul-12,7,July,2012,1182,1812,925,13,136
LGA,"New York, NY: LaGuardia",Jul-12,7,July,2012,436,543,1071,0,96
MCO,"Orlando, FL: Orlando International",Jul-12,7,July,2012,747,938,682,9,68
MDW,"Chicago, IL: Chicago Midway International",Jul-12,7,July,2012,391,862,431,7,42
MIA,"Miami, FL: Miami International",Jul-12,7,July,2012,381,454,405,3,67
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jul-12,7,July,2012,511,511,345,0,52
ORD,"Chicago, IL: Chicago O'Hare International",Jul-12,7,July,2012,1527,3014,2108,8,201
PDX,"Portland, OR: Portland International",Jul-12,7,July,2012,277,422,115,1,26
PHL,"Philadelphia, PA: Philadelphia International",Jul-12,7,July,2012,390,441,692,6,74
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jul-12,7,July,2012,683,1039,606,9,82
SAN,"San Diego, CA: San Diego International",Jul-12,7,July,2012,497,616,195,2,46
SEA,"Seattle, WA: Seattle/Tacoma International",Jul-12,7,July,2012,530,629,262,8,55
SFO,"San Francisco, CA: San Francisco International",Jul-12,7,July,2012,875,1774,2077,9,142
SLC,"Salt Lake City, UT: Salt Lake City International",Jul-12,7,July,2012,413,576,245,2,29
TPA,"Tampa, FL: Tampa International",Jul-12,7,July,2012,443,542,341,3,58
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Aug-12,8,August,2012,1360,2348,2312,3,167
BOS,"Boston, MA: Logan International",Aug-12,8,August,2012,588,720,556,2,57
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Aug-12,8,August,2012,430,727,688,5,111
CLT,"Charlotte, NC: Charlotte Douglas International",Aug-12,8,August,2012,485,555,685,4,60
DCA,"Washington, DC: Ronald Reagan Washington National",Aug-12,8,August,2012,386,387,588,1,48
DEN,"Denver, CO: Denver International",Aug-12,8,August,2012,1074,1619,749,10,60
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Aug-12,8,August,2012,961,1819,1185,6,151
DTW,"Detroit, MI: Detroit Metro Wayne County",Aug-12,8,August,2012,386,556,272,1,39
EWR,"Newark, NJ: Newark Liberty International",Aug-12,8,August,2012,666,1079,1254,10,61
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Aug-12,8,August,2012,386,399,425,8,38
IAD,"Washington, DC: Washington Dulles International",Aug-12,8,August,2012,431,664,424,3,34
IAH,"Houston, TX: George Bush Intercontinental/Houston",Aug-12,8,August,2012,918,1337,859,14,79
JFK,"New York, NY: John F. Kennedy International",Aug-12,8,August,2012,467,651,777,3,61
LAS,"Las Vegas, NV: McCarran International",Aug-12,8,August,2012,650,973,515,9,62
LAX,"Los Angeles, CA: Los Angeles International",Aug-12,8,August,2012,1098,1606,884,13,91
LGA,"New York, NY: LaGuardia",Aug-12,8,August,2012,382,564,903,1,65
MCO,"Orlando, FL: Orlando International",Aug-12,8,August,2012,684,814,838,9,61
MDW,"Chicago, IL: Chicago Midway International",Aug-12,8,August,2012,341,608,300,6,44
MIA,"Miami, FL: Miami International",Aug-12,8,August,2012,361,492,528,1,64
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Aug-12,8,August,2012,393,420,300,3,36
ORD,"Chicago, IL: Chicago O'Hare International",Aug-12,8,August,2012,1366,2538,1633,8,151
PDX,"Portland, OR: Portland International",Aug-12,8,August,2012,276,366,109,2,14
PHL,"Philadelphia, PA: Philadelphia International",Aug-12,8,August,2012,352,399,584,1,54
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Aug-12,8,August,2012,602,880,475,14,43
SAN,"San Diego, CA: San Diego International",Aug-12,8,August,2012,455,587,206,4,27
SEA,"Seattle, WA: Seattle/Tacoma International",Aug-12,8,August,2012,524,501,319,6,30
SFO,"San Francisco, CA: San Francisco International",Aug-12,8,August,2012,865,1665,2082,4,116
SLC,"Salt Lake City, UT: Salt Lake City International",Aug-12,8,August,2012,441,455,202,2,25
TPA,"Tampa, FL: Tampa International",Aug-12,8,August,2012,377,432,421,4,41
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Sep-12,9,September,2012,989,1492,1235,5,60
BOS,"Boston, MA: Logan International",Sep-12,9,September,2012,442,433,589,3,22
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Sep-12,9,September,2012,298,425,719,6,88
CLT,"Charlotte, NC: Charlotte Douglas International",Sep-12,9,September,2012,333,408,559,5,39
DCA,"Washington, DC: Ronald Reagan Washington National",Sep-12,9,September,2012,308,298,456,3,35
DEN,"Denver, CO: Denver International",Sep-12,9,September,2012,700,898,644,7,38
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Sep-12,9,September,2012,1328,2210,1339,8,80
DTW,"Detroit, MI: Detroit Metro Wayne County",Sep-12,9,September,2012,254,310,230,1,26
EWR,"Newark, NJ: Newark Liberty International",Sep-12,9,September,2012,446,602,1424,1,54
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Sep-12,9,September,2012,226,224,225,3,21
IAD,"Washington, DC: Washington Dulles International",Sep-12,9,September,2012,280,446,401,0,27
IAH,"Houston, TX: George Bush Intercontinental/Houston",Sep-12,9,September,2012,536,790,588,0,32
JFK,"New York, NY: John F. Kennedy International",Sep-12,9,September,2012,379,452,680,1,45
LAS,"Las Vegas, NV: McCarran International",Sep-12,9,September,2012,477,663,485,3,49
LAX,"Los Angeles, CA: Los Angeles International",Sep-12,9,September,2012,892,1246,1029,6,54
LGA,"New York, NY: LaGuardia",Sep-12,9,September,2012,332,405,949,5,50
MCO,"Orlando, FL: Orlando International",Sep-12,9,September,2012,453,412,429,3,20
MDW,"Chicago, IL: Chicago Midway International",Sep-12,9,September,2012,203,315,138,2,15
MIA,"Miami, FL: Miami International",Sep-12,9,September,2012,458,519,586,1,27
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Sep-12,9,September,2012,304,277,164,0,21
ORD,"Chicago, IL: Chicago O'Hare International",Sep-12,9,September,2012,1158,1873,1576,3,66
PDX,"Portland, OR: Portland International",Sep-12,9,September,2012,194,208,77,1,8
PHL,"Philadelphia, PA: Philadelphia International",Sep-12,9,September,2012,229,180,400,0,26
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Sep-12,9,September,2012,490,557,327,11,23
SAN,"San Diego, CA: San Diego International",Sep-12,9,September,2012,306,399,238,3,25
SEA,"Seattle, WA: Seattle/Tacoma International",Sep-12,9,September,2012,370,383,237,8,27
SFO,"San Francisco, CA: San Francisco International",Sep-12,9,September,2012,667,1342,2402,5,80
SLC,"Salt Lake City, UT: Salt Lake City International",Sep-12,9,September,2012,230,256,154,0,17
TPA,"Tampa, FL: Tampa International",Sep-12,9,September,2012,263,264,248,0,12
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Oct-12,10,October,2012,1093,1782,1910,1,67
BOS,"Boston, MA: Logan International",Oct-12,10,October,2012,434,425,483,1,15
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Oct-12,10,October,2012,381,566,612,6,47
CLT,"Charlotte, NC: Charlotte Douglas International",Oct-12,10,October,2012,384,451,484,8,14
DCA,"Washington, DC: Ronald Reagan Washington National",Oct-12,10,October,2012,356,327,327,2,12
DEN,"Denver, CO: Denver International",Oct-12,10,October,2012,800,1163,914,3,24
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Oct-12,10,October,2012,1003,1721,1169,2,67
DTW,"Detroit, MI: Detroit Metro Wayne County",Oct-12,10,October,2012,317,430,271,2,17
EWR,"Newark, NJ: Newark Liberty International",Oct-12,10,October,2012,428,739,1391,1,37
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Oct-12,10,October,2012,299,272,295,4,13
IAD,"Washington, DC: Washington Dulles International",Oct-12,10,October,2012,284,479,193,3,10
IAH,"Houston, TX: George Bush Intercontinental/Houston",Oct-12,10,October,2012,558,871,440,2,24
JFK,"New York, NY: John F. Kennedy International",Oct-12,10,October,2012,359,394,417,1,21
LAS,"Las Vegas, NV: McCarran International",Oct-12,10,October,2012,603,796,691,3,30
LAX,"Los Angeles, CA: Los Angeles International",Oct-12,10,October,2012,1001,1465,1728,7,73
LGA,"New York, NY: LaGuardia",Oct-12,10,October,2012,333,374,974,0,45
MCO,"Orlando, FL: Orlando International",Oct-12,10,October,2012,556,485,417,4,13
MDW,"Chicago, IL: Chicago Midway International",Oct-12,10,October,2012,278,453,301,5,40
MIA,"Miami, FL: Miami International",Oct-12,10,October,2012,440,454,451,1,19
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Oct-12,10,October,2012,353,398,317,1,15
ORD,"Chicago, IL: Chicago O'Hare International",Oct-12,10,October,2012,1205,2098,2416,5,91
PDX,"Portland, OR: Portland International",Oct-12,10,October,2012,238,304,214,3,5
PHL,"Philadelphia, PA: Philadelphia International",Oct-12,10,October,2012,278,279,411,2,29
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Oct-12,10,October,2012,566,708,566,8,12
SAN,"San Diego, CA: San Diego International",Oct-12,10,October,2012,381,453,338,7,37
SEA,"Seattle, WA: Seattle/Tacoma International",Oct-12,10,October,2012,420,429,436,8,19
SFO,"San Francisco, CA: San Francisco International",Oct-12,10,October,2012,763,1370,2635,3,105
SLC,"Salt Lake City, UT: Salt Lake City International",Oct-12,10,October,2012,318,375,319,0,11
TPA,"Tampa, FL: Tampa International",Oct-12,10,October,2012,344,306,216,2,10
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Nov-12,11,November,2012,880,1095,919,3,26
BOS,"Boston, MA: Logan International",Nov-12,11,November,2012,416,366,435,3,22
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Nov-12,11,November,2012,370,521,515,2,30
CLT,"Charlotte, NC: Charlotte Douglas International",Nov-12,11,November,2012,332,376,383,3,9
DCA,"Washington, DC: Ronald Reagan Washington National",Nov-12,11,November,2012,325,291,289,0,6
DEN,"Denver, CO: Denver International",Nov-12,11,November,2012,603,899,568,4,24
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Nov-12,11,November,2012,754,1192,699,4,39
DTW,"Detroit, MI: Detroit Metro Wayne County",Nov-12,11,November,2012,282,392,215,2,25
EWR,"Newark, NJ: Newark Liberty International",Nov-12,11,November,2012,464,616,947,0,42
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Nov-12,11,November,2012,303,260,208,4,13
IAD,"Washington, DC: Washington Dulles International",Nov-12,11,November,2012,245,331,189,1,10
IAH,"Houston, TX: George Bush Intercontinental/Houston",Nov-12,11,November,2012,398,609,289,1,12
JFK,"New York, NY: John F. Kennedy International",Nov-12,11,November,2012,343,364,455,2,36
LAS,"Las Vegas, NV: McCarran International",Nov-12,11,November,2012,443,580,270,3,20
LAX,"Los Angeles, CA: Los Angeles International",Nov-12,11,November,2012,751,1154,759,6,46
LGA,"New York, NY: LaGuardia",Nov-12,11,November,2012,348,309,708,3,25
MCO,"Orlando, FL: Orlando International",Nov-12,11,November,2012,437,394,287,2,10
MDW,"Chicago, IL: Chicago Midway International",Nov-12,11,November,2012,242,386,185,6,40
MIA,"Miami, FL: Miami International",Nov-12,11,November,2012,373,313,271,0,8
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Nov-12,11,November,2012,317,287,242,0,17
ORD,"Chicago, IL: Chicago O'Hare International",Nov-12,11,November,2012,828,1413,1098,4,121
PDX,"Portland, OR: Portland International",Nov-12,11,November,2012,185,248,96,0,5
PHL,"Philadelphia, PA: Philadelphia International",Nov-12,11,November,2012,292,213,471,1,25
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Nov-12,11,November,2012,413,512,250,5,13
SAN,"San Diego, CA: San Diego International",Nov-12,11,November,2012,300,346,218,3,24
SEA,"Seattle, WA: Seattle/Tacoma International",Nov-12,11,November,2012,325,337,234,3,9
SFO,"San Francisco, CA: San Francisco International",Nov-12,11,November,2012,564,863,1864,0,65
SLC,"Salt Lake City, UT: Salt Lake City International",Nov-12,11,November,2012,228,390,189,2,18
TPA,"Tampa, FL: Tampa International",Nov-12,11,November,2012,234,223,125,3,7
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Dec-12,12,December,2012,1203,1920,1574,7,122
BOS,"Boston, MA: Logan International",Dec-12,12,December,2012,498,693,258,1,19
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Dec-12,12,December,2012,384,762,501,14,101
CLT,"Charlotte, NC: Charlotte Douglas International",Dec-12,12,December,2012,428,517,546,8,35
DCA,"Washington, DC: Ronald Reagan Washington National",Dec-12,12,December,2012,308,435,318,1,36
DEN,"Denver, CO: Denver International",Dec-12,12,December,2012,1216,1878,1553,18,82
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dec-12,12,December,2012,943,1903,1320,2,138
DTW,"Detroit, MI: Detroit Metro Wayne County",Dec-12,12,December,2012,345,525,284,3,41
EWR,"Newark, NJ: Newark Liberty International",Dec-12,12,December,2012,554,996,1377,1,62
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Dec-12,12,December,2012,457,519,722,2,40
IAD,"Washington, DC: Washington Dulles International",Dec-12,12,December,2012,315,598,253,0,37
IAH,"Houston, TX: George Bush Intercontinental/Houston",Dec-12,12,December,2012,761,1438,896,3,83
JFK,"New York, NY: John F. Kennedy International",Dec-12,12,December,2012,476,705,778,3,31
LAS,"Las Vegas, NV: McCarran International",Dec-12,12,December,2012,790,1164,575,20,62
LAX,"Los Angeles, CA: Los Angeles International",Dec-12,12,December,2012,1310,1698,1467,11,144
LGA,"New York, NY: LaGuardia",Dec-12,12,December,2012,357,514,1122,1,48
MCO,"Orlando, FL: Orlando International",Dec-12,12,December,2012,669,740,652,11,30
MDW,"Chicago, IL: Chicago Midway International",Dec-12,12,December,2012,358,629,319,13,37
MIA,"Miami, FL: Miami International",Dec-12,12,December,2012,415,508,380,2,44
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Dec-12,12,December,2012,433,512,454,2,61
ORD,"Chicago, IL: Chicago O'Hare International",Dec-12,12,December,2012,1118,2261,1650,7,128
PDX,"Portland, OR: Portland International",Dec-12,12,December,2012,315,401,192,3,15
PHL,"Philadelphia, PA: Philadelphia International",Dec-12,12,December,2012,337,333,676,4,54
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Dec-12,12,December,2012,822,995,863,22,45
SAN,"San Diego, CA: San Diego International",Dec-12,12,December,2012,515,656,404,5,18
SEA,"Seattle, WA: Seattle/Tacoma International",Dec-12,12,December,2012,486,492,422,4,29
SFO,"San Francisco, CA: San Francisco International",Dec-12,12,December,2012,864,1280,2247,8,113
SLC,"Salt Lake City, UT: Salt Lake City International",Dec-12,12,December,2012,489,691,468,4,35
TPA,"Tampa, FL: Tampa International",Dec-12,12,December,2012,368,424,351,3,23
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jan-13,1,January,2013,1055,1460,1807,2,147
BOS,"Boston, MA: Logan International",Jan-13,1,January,2013,395,461,243,1,35
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jan-13,1,January,2013,311,427,291,2,26
CLT,"Charlotte, NC: Charlotte Douglas International",Jan-13,1,January,2013,434,519,792,3,49
DCA,"Washington, DC: Ronald Reagan Washington National",Jan-13,1,January,2013,321,347,386,1,36
DEN,"Denver, CO: Denver International",Jan-13,1,January,2013,845,1183,1497,9,69
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jan-13,1,January,2013,855,1637,1702,7,212
DTW,"Detroit, MI: Detroit Metro Wayne County",Jan-13,1,January,2013,505,693,636,3,59
EWR,"Newark, NJ: Newark Liberty International",Jan-13,1,January,2013,423,843,1067,1,58
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jan-13,1,January,2013,388,313,473,3,33
IAD,"Washington, DC: Washington Dulles International",Jan-13,1,January,2013,261,419,214,3,19
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jan-13,1,January,2013,679,1296,1240,4,91
JFK,"New York, NY: John F. Kennedy International",Jan-13,1,January,2013,419,467,592,2,40
LAS,"Las Vegas, NV: McCarran International",Jan-13,1,January,2013,455,533,357,8,28
LAX,"Los Angeles, CA: Los Angeles International",Jan-13,1,January,2013,714,951,807,6,72
LGA,"New York, NY: LaGuardia",Jan-13,1,January,2013,326,382,885,1,58
MCO,"Orlando, FL: Orlando International",Jan-13,1,January,2013,506,445,546,6,30
MDW,"Chicago, IL: Chicago Midway International",Jan-13,1,January,2013,252,343,369,11,27
MIA,"Miami, FL: Miami International",Jan-13,1,January,2013,366,349,354,5,33
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jan-13,1,January,2013,453,619,586,2,83
ORD,"Chicago, IL: Chicago O'Hare International",Jan-13,1,January,2013,1046,2186,1969,11,97
PDX,"Portland, OR: Portland International",Jan-13,1,January,2013,184,191,145,5,20
PHL,"Philadelphia, PA: Philadelphia International",Jan-13,1,January,2013,247,286,647,1,66
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jan-13,1,January,2013,593,590,635,11,34
SAN,"San Diego, CA: San Diego International",Jan-13,1,January,2013,334,311,223,1,15
SEA,"Seattle, WA: Seattle/Tacoma International",Jan-13,1,January,2013,375,261,394,3,33
SFO,"San Francisco, CA: San Francisco International",Jan-13,1,January,2013,515,730,827,3,61
SLC,"Salt Lake City, UT: Salt Lake City International",Jan-13,1,January,2013,395,620,603,5,64
TPA,"Tampa, FL: Tampa International",Jan-13,1,January,2013,285,251,321,3,18
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Feb-13,2,Febuary,2013,959,1540,1726,1,119
BOS,"Boston, MA: Logan International",Feb-13,2,Febuary,2013,403,539,419,0,52
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Feb-13,2,Febuary,2013,296,467,291,3,16
CLT,"Charlotte, NC: Charlotte Douglas International",Feb-13,2,Febuary,2013,446,577,786,5,35
DCA,"Washington, DC: Ronald Reagan Washington National",Feb-13,2,Febuary,2013,307,368,351,0,39
DEN,"Denver, CO: Denver International",Feb-13,2,Febuary,2013,710,1175,1224,6,85
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Feb-13,2,Febuary,2013,777,1598,1509,3,173
DTW,"Detroit, MI: Detroit Metro Wayne County",Feb-13,2,Febuary,2013,440,725,673,0,61
EWR,"Newark, NJ: Newark Liberty International",Feb-13,2,Febuary,2013,417,797,787,1,68
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Feb-13,2,Febuary,2013,373,330,631,3,34
IAD,"Washington, DC: Washington Dulles International",Feb-13,2,Febuary,2013,273,464,232,0,19
IAH,"Houston, TX: George Bush Intercontinental/Houston",Feb-13,2,Febuary,2013,579,1018,969,1,61
JFK,"New York, NY: John F. Kennedy International",Feb-13,2,Febuary,2013,413,632,739,2,37
LAS,"Las Vegas, NV: McCarran International",Feb-13,2,Febuary,2013,453,495,301,2,27
LAX,"Los Angeles, CA: Los Angeles International",Feb-13,2,Febuary,2013,686,908,701,2,83
LGA,"New York, NY: LaGuardia",Feb-13,2,Febuary,2013,325,399,776,1,58
MCO,"Orlando, FL: Orlando International",Feb-13,2,Febuary,2013,508,462,654,3,36
MDW,"Chicago, IL: Chicago Midway International",Feb-13,2,Febuary,2013,228,311,249,4,37
MIA,"Miami, FL: Miami International",Feb-13,2,Febuary,2013,312,370,407,0,48
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Feb-13,2,Febuary,2013,428,615,525,2,69
ORD,"Chicago, IL: Chicago O'Hare International",Feb-13,2,Febuary,2013,984,2361,2473,3,120
PDX,"Portland, OR: Portland International",Feb-13,2,Febuary,2013,163,172,111,3,12
PHL,"Philadelphia, PA: Philadelphia International",Feb-13,2,Febuary,2013,288,310,620,2,45
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Feb-13,2,Febuary,2013,451,468,504,9,36
SAN,"San Diego, CA: San Diego International",Feb-13,2,Febuary,2013,274,274,202,2,25
SEA,"Seattle, WA: Seattle/Tacoma International",Feb-13,2,Febuary,2013,296,243,230,7,40
SFO,"San Francisco, CA: San Francisco International",Feb-13,2,Febuary,2013,470,643,868,2,57
SLC,"Salt Lake City, UT: Salt Lake City International",Feb-13,2,Febuary,2013,327,421,296,3,37
TPA,"Tampa, FL: Tampa International",Feb-13,2,Febuary,2013,318,311,352,2,26
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Mar-13,3,March,2013,1182,2139,1990,3,165
BOS,"Boston, MA: Logan International",Mar-13,3,March,2013,515,756,775,3,43
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Mar-13,3,March,2013,356,684,378,3,49
CLT,"Charlotte, NC: Charlotte Douglas International",Mar-13,3,March,2013,471,594,630,6,36
DCA,"Washington, DC: Ronald Reagan Washington National",Mar-13,3,March,2013,375,390,390,2,32
DEN,"Denver, CO: Denver International",Mar-13,3,March,2013,899,1484,1427,10,129
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Mar-13,3,March,2013,786,1592,1165,4,139
DTW,"Detroit, MI: Detroit Metro Wayne County",Mar-13,3,March,2013,432,654,970,3,42
EWR,"Newark, NJ: Newark Liberty International",Mar-13,3,March,2013,569,973,1432,2,48
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Mar-13,3,March,2013,473,497,858,8,52
